customer_id,segment_name,recency_days,frequency_180d,monetary_180d,R,F,M,RFM_sum,return_rate_180d,negative_ticket_rate_90d,ticket_count_90d,category_diversity_180d,campaign_clicks_30d,sessions_30d,loyalty_tier,last_campaign_received,manual_priority_bucket
CUST00033,High-Value but Unhappy,12,3,1877.69,5,5,4,14,0.333,1.0,1,3,0,7,Gold,welcome_offer,medium
CUST00034,High-Value but Unhappy,50,2,1460.21,3,3,4,10,0.0,1.0,1,2,2,7,Gold,welcome_offer,medium
CUST00035,At-Risk High-Value,127,1,779.74,2,1,3,6,0.0,0.0,0,1,0,6,Silver,new_launch,high
CUST00036,Champions,27,4,1737.33,4,5,4,13,0.25,0.0,1,4,0,0,Silver,bundle_discount,medium
CUST00037,Dormant,102,1,435.83,2,1,2,5,0.0,0.0,0,1,0,5,,welcome_offer,high
CUST00038,Loyal Customers,51,3,1955.6100000000001,3,5,5,13,0.0,0.0,1,3,0,5,,bundle_discount,medium
CUST00039,Loyal Customers,15,2,1173.55,5,3,3,11,0.0,0.0,0,2,1,6,,welcome_offer,low
CUST00040,Dormant,154,1,634.73,1,1,2,4,0.0,0.0,0,1,0,1,,none,high
CUST00041,Need Attention,54,1,366.99,3,1,1,5,0.0,0.0,0,1,2,5,Silver,free_shipping,medium
CUST00042,At-Risk High-Value,87,5,4306.0,2,5,5,12,0.0,0.5,2,4,2,3,Silver,none,high
CUST00043,New / Promising,24,1,363.01,4,1,1,6,0.0,0.0,0,1,0,3,Gold,welcome_offer,low
CUST00044,Need Attention,72,1,899.51,3,1,3,7,0.0,0.0,0,1,2,6,,welcome_offer,medium
CUST00045,Dormant,96,1,413.75,2,1,2,5,0.0,0.0,0,1,1,6,,welcome_offer,high
CUST00046,Dormant,127,1,489.87,2,1,2,5,0.0,0.0,0,1,0,7,Gold,new_launch,high
CUST00047,Dormant,204,0,0.0,1,1,1,3,0.0,0.0,0,0,1,2,Gold,free_shipping,high
CUST00048,Loyal Customers,61,4,2450.45,3,5,5,13,0.25,0.0,0,3,0,12,Silver,none,medium
CUST00049,New / Promising,8,1,380.83,5,1,2,8,0.0,0.0,0,1,1,4,,new_launch,low
CUST00050,Loyal Customers,0,2,2026.54,5,3,5,13,0.5,0.0,0,2,1,3,Gold,bundle_discount,low
CUST00051,Dormant,210,0,0.0,1,1,1,3,0.0,0.0,0,0,2,6,,new_launch,high
CUST00052,Loyal Customers,55,2,1820.53,3,3,4,10,0.0,0.0,0,2,0,7,Silver,free_shipping,medium
CUST00053,High-Value but Unhappy,25,3,2063.87,4,5,5,14,0.0,1.0,1,2,1,9,Silver,welcome_offer,medium
CUST00054,New / Promising,6,1,489.85,5,1,2,8,0.0,0.0,0,1,0,3,,welcome_offer,low
CUST00055,Champions,3,3,1308.35,5,5,4,14,0.0,0.0,0,2,2,6,,new_launch,low
CUST00056,Champions,9,3,3150.6899999999996,5,5,5,15,0.0,0.0,1,2,0,3,,new_launch,medium
CUST00057,At-Risk High-Value,136,1,1713.34,2,1,4,7,0.0,0.0,0,1,1,7,,none,high
CUST00058,New / Promising,42,1,644.61,4,1,2,7,0.0,0.0,0,1,4,2,,new_launch,medium
CUST00059,Loyal Customers,2,2,1447.55,5,3,4,12,0.0,0.0,0,1,0,3,Silver,new_launch,low
CUST00060,Dormant,145,1,293.22,2,1,1,4,0.0,0.0,0,1,0,5,,none,high
CUST00061,High-Value but Unhappy,14,3,1632.4,5,5,4,14,0.0,1.0,1,3,1,4,,welcome_offer,medium
CUST00062,Champions,21,3,2295.98,4,5,5,14,0.0,0.0,0,3,1,9,Silver,welcome_offer,low
CUST00063,Dormant,216,0,0.0,1,1,1,3,0.0,0.0,0,0,0,0,,bundle_discount,high
CUST00064,New / Promising,2,1,654.93,5,1,2,8,0.0,0.0,0,1,0,8,,free_shipping,low
CUST00065,New / Promising,6,1,1911.67,5,1,5,11,0.0,0.0,0,1,2,3,,bundle_discount,low
CUST00066,Dormant,320,0,0.0,1,1,1,3,0.0,0.0,0,0,1,11,,bundle_discount,high
CUST00067,Loyal Customers,63,2,1246.44,3,3,4,10,0.5,0.0,1,2,2,1,Silver,welcome_offer,medium
CUST00068,Dormant,346,0,0.0,1,1,1,3,0.0,0.0,0,0,1,5,Silver,bundle_discount,high
CUST00069,Loyal Customers,29,2,874.47,4,3,3,10,0.0,0.0,0,2,1,9,,bundle_discount,low
CUST00070,New / Promising,38,1,542.98,4,1,2,7,0.0,0.0,0,1,0,1,Gold,none,high
CUST00071,High-Value but Unhappy,32,1,2062.5,4,1,5,10,0.0,1.0,1,1,2,1,,free_shipping,high
CUST00072,At-Risk High-Value,90,2,1697.8400000000001,2,3,4,9,0.0,0.0,0,2,1,7,,none,high
CUST00073,Loyal Customers,8,2,1150.72,5,3,3,11,0.0,0.0,0,2,1,7,,none,low
CUST00074,New / Promising,7,1,824.34,5,1,3,9,1.0,1.0,1,1,1,14,Platinum,new_launch,medium
CUST00075,Champions,3,3,1287.45,5,5,4,14,0.0,0.0,0,3,0,10,,none,low
CUST00076,Loyal Customers,20,2,1385.27,5,3,4,12,0.0,0.0,0,1,0,17,,bundle_discount,low
CUST00077,Dormant,109,1,394.32,2,1,2,5,0.0,0.0,0,1,0,0,,welcome_offer,high
CUST00078,At-Risk High-Value,139,1,894.45,2,1,3,6,1.0,0.0,0,1,0,5,,welcome_offer,high
CUST00079,Dormant,191,0,0.0,1,1,1,3,0.0,0.0,0,0,0,2,Silver,none,high
CUST00080,Need Attention,50,1,1461.68,3,1,4,8,0.0,0.0,0,1,0,11,Gold,none,medium
CUST00081,Champions,19,5,3417.3199999999997,5,5,5,15,0.0,0.0,0,4,0,12,Silver,bundle_discount,low
CUST00082,Dormant,254,0,0.0,1,1,1,3,0.0,0.0,0,0,3,7,,none,high
CUST00083,At-Risk High-Value,89,2,806.87,2,3,3,8,0.5,1.0,1,1,0,9,,bundle_discount,high
CUST00084,At-Risk High-Value,167,1,1273.18,1,1,4,6,0.0,0.0,0,1,1,11,Silver,bundle_discount,high
CUST00085,New / Promising,14,1,1257.8,5,1,4,10,0.0,0.0,0,1,0,8,,none,low
CUST00086,High-Value but Unhappy,21,4,1741.15,4,5,4,13,0.0,1.0,1,1,2,7,Silver,welcome_offer,medium
CUST00087,New / Promising,44,1,933.58,4,1,3,8,0.0,0.0,0,1,0,1,,new_launch,high
CUST00088,At-Risk High-Value,98,2,1169.14,2,3,3,8,0.0,0.0,0,2,0,9,Gold,new_launch,high
CUST00089,At-Risk High-Value,165,1,1513.5,1,1,4,6,0.0,0.0,0,1,3,12,,none,high
CUST00090,Loyal Customers,80,4,1966.31,3,5,5,13,0.0,0.0,0,3,0,5,Platinum,new_launch,high
CUST00091,Dormant,90,1,311.34,2,1,1,4,0.0,0.0,0,1,0,9,Platinum,free_shipping,high
CUST00092,New / Promising,21,1,430.85,4,1,2,7,0.0,0.0,0,1,0,1,,new_launch,high
CUST00093,Need Attention,85,1,759.64,3,1,3,7,0.0,0.0,0,1,4,16,Gold,none,high
CUST00094,Dormant,183,0,0.0,1,1,1,3,0.0,0.0,0,0,1,6,,new_launch,high
CUST00095,Need Attention,65,1,372.65,3,1,2,6,0.0,1.0,1,1,1,10,,welcome_offer,medium
CUST00096,Loyal Customers,61,2,1414.75,3,3,4,10,0.5,0.0,0,2,0,12,,new_launch,medium
CUST00097,Champions,1,3,2946.09,5,5,5,15,0.0,0.0,0,1,0,0,,new_launch,low
CUST00098,Dormant,184,0,0.0,1,1,1,3,0.0,0.0,0,0,0,8,,bundle_discount,high
CUST00099,At-Risk High-Value,144,2,1471.51,2,3,4,9,0.0,0.0,0,1,2,4,,welcome_offer,high
CUST00100,Need Attention,70,1,372.37,3,1,2,6,0.0,0.0,0,1,0,1,,bundle_discount,high
CUST00101,At-Risk High-Value,108,2,1240.21,2,3,4,9,0.0,0.0,0,2,0,2,,free_shipping,high
CUST00102,Need Attention,83,1,732.65,3,1,3,7,0.0,0.0,0,1,0,2,,welcome_offer,high
CUST00103,New / Promising,21,1,1469.96,4,1,4,9,0.0,0.0,0,1,1,6,,none,low
CUST00104,At-Risk High-Value,93,1,955.63,2,1,3,6,0.0,0.0,0,1,0,3,,bundle_discount,high
CUST00105,Need Attention,46,1,2052.43,4,1,5,10,0.0,0.0,0,1,0,1,,new_launch,high
CUST00106,Need Attention,61,1,436.15,3,1,2,6,0.0,0.0,0,1,0,5,,bundle_discount,medium
CUST00107,Loyal Customers,12,2,1658.13,5,3,4,12,0.0,0.0,0,2,0,2,,free_shipping,low
CUST00108,New / Promising,44,1,1074.5,4,1,3,8,1.0,1.0,1,1,0,5,,new_launch,medium
CUST00109,At-Risk High-Value,92,2,1622.28,2,3,4,9,0.0,0.0,0,2,1,1,Silver,free_shipping,high
CUST00110,Champions,35,3,2424.8,4,5,5,14,0.0,0.5,2,2,0,4,,new_launch,medium
CUST00111,At-Risk High-Value,178,1,1135.09,1,1,3,5,0.0,0.0,0,1,0,3,Silver,welcome_offer,high
CUST00112,Champions,0,4,2225.98,5,5,5,15,0.0,0.0,0,3,0,4,,welcome_offer,low
CUST00113,Loyal Customers,28,2,1601.31,4,3,4,11,0.0,0.0,0,2,0,17,Silver,free_shipping,low
CUST00114,Dormant,239,0,0.0,1,1,1,3,0.0,0.0,0,0,1,3,,new_launch,high
CUST00115,Dormant,159,1,596.54,1,1,2,4,0.0,0.0,0,1,2,12,Gold,welcome_offer,high
CUST00116,Dormant,143,1,452.08,2,1,2,5,0.0,0.0,0,1,2,10,,new_launch,high
CUST00117,At-Risk High-Value,123,2,1268.88,2,3,4,9,0.0,0.0,0,2,0,2,Silver,bundle_discount,high
CUST00118,New / Promising,27,1,689.56,4,1,3,8,0.0,0.0,0,1,0,2,Silver,none,low
CUST00119,Need Attention,69,1,2019.98,3,1,5,9,0.0,0.0,1,1,0,12,,free_shipping,medium
CUST00120,New / Promising,26,1,261.95,4,1,1,6,0.0,0.0,0,1,0,6,Silver,bundle_discount,low
CUST00121,Loyal Customers,27,2,2496.0299999999997,4,3,5,12,0.0,0.0,0,1,1,5,Gold,free_shipping,low
CUST00122,At-Risk High-Value,106,2,2048.93,2,3,5,10,0.0,0.0,0,2,4,10,Gold,none,high
CUST00123,At-Risk High-Value,102,4,2117.52,2,5,5,12,0.0,0.0,0,3,0,2,Silver,new_launch,high
CUST00124,Dormant,194,0,0.0,1,1,1,3,0.0,0.0,0,0,0,5,,new_launch,high
CUST00125,Loyal Customers,8,2,1698.4,5,3,4,12,0.0,0.0,0,2,1,0,,none,low
CUST00126,Need Attention,57,1,919.95,3,1,3,7,0.0,0.0,0,1,0,5,Silver,new_launch,medium
CUST00127,Loyal Customers,24,2,729.55,4,3,3,10,0.0,0.0,0,1,0,3,Silver,welcome_offer,low
CUST00128,Loyal Customers,19,2,1716.68,5,3,4,12,0.0,0.0,0,1,0,15,,free_shipping,low
CUST00129,Loyal Customers,83,3,3369.08,3,5,5,13,0.333,0.0,1,2,0,7,,bundle_discount,high
CUST00130,At-Risk High-Value,88,1,1272.47,2,1,4,7,0.0,0.0,0,1,0,9,Gold,new_launch,high
CUST00131,Need Attention,67,1,2157.15,3,1,5,9,0.0,0.0,0,1,0,4,,welcome_offer,medium
CUST00132,At-Risk High-Value,117,1,1621.76,2,1,4,7,0.0,0.0,0,1,0,1,,welcome_offer,high
CUST00133,Loyal Customers,54,6,4776.26,3,5,5,13,0.0,0.0,0,3,1,5,,free_shipping,medium
CUST00134,Loyal Customers,35,2,1527.1100000000001,4,3,4,11,0.5,0.0,0,2,0,11,,new_launch,low
CUST00135,Dormant,333,0,0.0,1,1,1,3,0.0,0.0,0,0,1,3,,new_launch,high
CUST00136,Need Attention,71,1,514.9,3,1,2,6,0.0,0.0,0,1,0,7,Gold,new_launch,medium
CUST00137,Dormant,177,1,573.73,1,1,2,4,0.0,0.0,0,2,0,4,Silver,none,high
CUST00138,Need Attention,61,1,905.11,3,1,3,7,0.0,0.0,0,1,1,5,,bundle_discount,medium
CUST00139,High-Value but Unhappy,28,2,1715.4,4,3,4,11,0.0,1.0,2,2,0,5,,none,medium
CUST00140,Champions,6,3,3416.05,5,5,5,15,0.0,0.0,1,3,0,14,,new_launch,medium
CUST00141,New / Promising,28,1,647.85,4,1,2,7,0.0,0.0,0,1,1,4,,none,low
CUST00142,Dormant,169,1,369.26,1,1,1,3,0.0,0.0,0,1,0,2,,new_launch,high
CUST00143,Champions,32,3,4028.8,4,5,5,14,0.0,0.0,0,3,1,5,Silver,free_shipping,low
CUST00144,At-Risk High-Value,86,2,928.5799999999999,2,3,3,8,0.0,1.0,1,2,2,8,Gold,free_shipping,high
CUST00145,New / Promising,30,1,502.35,4,1,2,7,0.0,0.0,0,1,0,0,,none,high
CUST00146,At-Risk High-Value,108,1,986.21,2,1,3,6,0.0,0.0,0,1,1,4,Silver,free_shipping,high
CUST00147,Loyal Customers,84,3,2809.3199999999997,3,5,5,13,0.0,0.0,0,2,0,1,Platinum,new_launch,high
CUST00148,Champions,4,3,1990.51,5,5,5,15,0.0,0.0,0,3,1,5,,bundle_discount,low
CUST00149,New / Promising,8,1,787.94,5,1,3,9,0.0,0.0,0,1,0,8,,bundle_discount,low
CUST00150,Loyal Customers,45,2,1008.65,4,3,3,10,0.0,0.0,0,2,2,6,,welcome_offer,medium
CUST00151,Loyal Customers,62,3,2844.17,3,5,5,13,0.0,0.0,0,2,0,7,,none,medium
CUST00152,High-Value but Unhappy,46,3,2730.26,4,5,5,14,0.0,1.0,3,2,3,19,Silver,bundle_discount,medium
CUST00153,New / Promising,3,1,977.12,5,1,3,9,0.0,0.0,0,1,0,6,Gold,welcome_offer,low
CUST00154,Champions,10,4,3935.38,5,5,5,15,0.0,0.0,0,4,0,8,Gold,new_launch,low
CUST00155,Champions,2,3,2024.8,5,5,5,15,0.0,0.0,0,2,0,6,,none,low
CUST00156,Loyal Customers,34,2,4241.75,4,3,5,12,0.5,0.0,1,1,0,14,,welcome_offer,medium
CUST00157,New / Promising,0,1,376.83,5,1,2,8,0.0,0.0,0,1,1,3,,welcome_offer,low
CUST00158,At-Risk High-Value,155,1,812.34,1,1,3,5,0.0,0.0,0,1,1,8,,free_shipping,high
CUST00159,Dormant,474,0,0.0,1,1,1,3,0.0,0.0,0,0,0,0,Silver,free_shipping,high
CUST00160,Dormant,177,1,433.18,1,1,2,4,0.0,0.0,0,1,0,4,,welcome_offer,high
CUST00161,Champions,20,3,1738.05,5,5,4,14,0.0,0.0,0,2,1,7,Silver,welcome_offer,low
CUST00162,At-Risk High-Value,91,2,1194.5900000000001,2,3,4,9,0.0,0.0,0,1,0,2,Gold,none,high
CUST00163,Need Attention,70,1,275.41,3,1,1,5,0.0,0.0,0,1,2,3,Silver,free_shipping,medium
CUST00164,Dormant,222,0,0.0,1,1,1,3,0.0,0.0,0,0,0,1,Platinum,free_shipping,high
CUST00165,At-Risk High-Value,103,3,1825.77,2,5,4,11,0.0,0.0,0,1,0,2,Gold,welcome_offer,high
CUST00166,New / Promising,15,1,1269.41,5,1,4,10,0.0,0.0,1,1,0,1,Silver,new_launch,high
CUST00167,Dormant,219,0,0.0,1,1,1,3,0.0,0.0,0,0,1,0,,bundle_discount,high
CUST00168,Loyal Customers,85,2,2194.9300000000003,3,3,5,11,0.0,0.0,0,2,0,2,Platinum,bundle_discount,high
CUST00169,Dormant,222,0,0.0,1,1,1,3,0.0,0.0,0,0,0,1,Gold,new_launch,high
CUST00170,Loyal Customers,9,2,1708.2199999999998,5,3,4,12,0.0,0.0,0,1,0,5,,new_launch,low
CUST00171,New / Promising,12,1,1077.78,5,1,3,9,0.0,0.0,0,1,0,9,,none,low
CUST00172,New / Promising,8,1,1366.0,5,1,4,10,0.0,0.0,1,1,2,5,Silver,new_launch,medium
CUST00173,Need Attention,79,1,225.12,3,1,1,5,0.0,0.0,0,1,0,10,,bundle_discount,high
CUST00174,Dormant,86,1,168.97,2,1,1,4,0.0,0.0,0,1,0,14,Gold,free_shipping,high
CUST00175,Loyal Customers,59,2,1378.77,3,3,4,10,0.0,0.0,0,2,0,5,,free_shipping,medium
CUST00176,Champions,37,3,3830.31,4,5,5,14,0.0,0.0,0,3,0,12,,bundle_discount,medium
CUST00177,Need Attention,82,1,255.04,3,1,1,5,0.0,0.0,0,1,0,12,,free_shipping,high
CUST00178,High-Value but Unhappy,5,2,1583.88,5,3,4,12,1.0,1.0,2,2,0,10,,none,medium
CUST00179,Champions,38,3,1585.62,4,5,4,13,0.0,0.5,2,2,2,11,Silver,free_shipping,medium
CUST00180,At-Risk High-Value,96,2,1570.85,2,3,4,9,0.5,0.0,0,1,0,9,,welcome_offer,high
CUST00181,New / Promising,6,1,1107.73,5,1,3,9,0.0,0.0,0,1,1,7,Silver,free_shipping,low
CUST00182,New / Promising,31,1,305.3,4,1,1,6,0.0,0.0,0,1,0,12,,none,low
CUST00183,At-Risk High-Value,152,1,1689.98,1,1,4,6,0.0,0.0,0,1,1,1,,free_shipping,high
CUST00184,Champions,14,3,2456.91,5,5,5,15,0.0,0.0,0,2,0,6,Platinum,none,low
CUST00185,At-Risk High-Value,114,2,866.52,2,3,3,8,0.0,0.0,0,2,1,11,,new_launch,high
CUST00186,New / Promising,41,1,714.65,4,1,3,8,0.0,0.0,1,1,0,2,Platinum,none,medium
CUST00187,Dormant,149,1,491.11,1,1,2,4,0.0,0.0,0,1,1,0,,none,high
CUST00188,High-Value but Unhappy,29,2,1880.31,4,3,4,11,0.0,1.0,1,2,0,11,Gold,bundle_discount,medium
CUST00189,Dormant,140,1,574.39,2,1,2,5,0.0,0.0,0,1,0,10,,new_launch,high
CUST00190,New / Promising,6,1,482.88,5,1,2,8,0.0,1.0,1,1,0,6,,free_shipping,medium
CUST00191,New / Promising,28,1,149.0,4,1,1,6,0.0,0.0,0,1,0,6,Silver,welcome_offer,low
CUST00192,Loyal Customers,55,3,2263.95,3,5,5,13,0.0,0.0,0,3,1,8,,none,medium
CUST00193,Dormant,157,1,424.74,1,1,2,4,0.0,0.0,0,1,2,3,,free_shipping,high
CUST00194,Loyal Customers,80,3,2967.67,3,5,5,13,0.333,0.0,1,2,3,13,,none,high
CUST00195,New / Promising,23,1,654.27,4,1,2,7,0.0,1.0,1,1,0,5,,new_launch,medium
CUST00196,High-Value but Unhappy,24,2,1272.38,4,3,4,11,0.0,1.0,1,2,0,1,,free_shipping,medium
CUST00197,High-Value but Unhappy,15,2,2989.16,5,3,5,13,0.0,1.0,1,2,0,11,Silver,bundle_discount,medium
CUST00198,Champions,37,4,4324.83,4,5,5,14,0.0,0.0,0,2,1,1,Silver,new_launch,medium
CUST00199,High-Value but Unhappy,6,4,3273.56,5,5,5,15,0.0,1.0,1,4,0,3,Silver,welcome_offer,medium
CUST00200,Champions,15,3,3726.66,5,5,5,15,0.0,0.0,0,3,4,7,Gold,none,low
CUST00201,Dormant,93,1,598.21,2,1,2,5,0.0,0.0,1,1,0,3,,none,high
CUST00202,At-Risk High-Value,141,1,1220.26,2,1,4,7,0.0,0.0,0,1,1,9,,bundle_discount,high
CUST00203,At-Risk High-Value,114,2,743.3499999999999,2,3,3,8,0.0,0.0,0,2,0,6,,welcome_offer,high
CUST00204,New / Promising,42,1,519.21,4,1,2,7,0.0,0.0,0,1,0,17,Platinum,welcome_offer,medium
CUST00205,Champions,30,3,1548.05,4,5,4,13,0.0,0.0,0,3,0,13,,none,low
CUST00206,At-Risk High-Value,118,2,831.29,2,3,3,8,0.0,0.0,0,2,2,7,Gold,bundle_discount,high
CUST00207,New / Promising,18,1,193.1,5,1,1,7,0.0,0.0,0,1,2,11,,none,low
CUST00208,High-Value but Unhappy,91,4,3282.2999999999997,2,5,5,12,0.0,1.0,1,3,1,2,,free_shipping,high
CUST00209,Dormant,279,0,0.0,1,1,1,3,0.0,0.0,0,0,0,3,,bundle_discount,high
CUST00210,Dormant,128,1,409.67,2,1,2,5,0.0,0.0,0,1,0,3,,none,high
CUST00211,At-Risk High-Value,90,2,3032.55,2,3,5,10,0.0,0.0,0,2,0,4,,bundle_discount,high
CUST00212,Dormant,204,0,0.0,1,1,1,3,0.0,0.0,0,0,1,3,,new_launch,high
CUST00213,High-Value but Unhappy,86,1,1266.34,2,1,4,7,1.0,1.0,1,1,0,2,,bundle_discount,high
CUST00214,Need Attention,64,1,1427.16,3,1,4,8,0.0,0.0,0,1,0,3,,free_shipping,medium
CUST00215,New / Promising,34,1,646.51,4,1,2,7,0.0,0.0,0,1,2,8,Silver,none,low
CUST00216,High-Value but Unhappy,48,1,1349.42,3,1,4,8,1.0,1.0,1,1,0,7,Silver,free_shipping,medium
CUST00217,Loyal Customers,79,2,861.1800000000001,3,3,3,9,0.0,0.0,0,1,0,2,Silver,bundle_discount,high
CUST00218,New / Promising,23,1,713.95,4,1,3,8,0.0,0.0,0,1,0,1,,none,high
CUST00219,At-Risk High-Value,154,2,1225.24,1,3,4,8,0.0,0.0,0,2,1,3,Silver,welcome_offer,high
CUST00220,Loyal Customers,25,2,745.67,4,3,3,10,0.0,0.0,1,2,2,14,,none,medium
CUST00221,Loyal Customers,7,2,781.03,5,3,3,11,0.0,0.0,0,2,2,16,,welcome_offer,low
CUST00222,Dormant,186,0,0.0,1,1,1,3,0.0,0.0,0,0,0,1,,welcome_offer,high
CUST00223,At-Risk High-Value,103,1,757.58,2,1,3,6,0.0,0.0,0,1,0,1,Silver,welcome_offer,high
CUST00224,At-Risk High-Value,89,1,747.2,2,1,3,6,0.0,0.0,0,1,1,1,,free_shipping,high
CUST00225,At-Risk High-Value,88,2,2563.85,2,3,5,10,0.0,0.0,0,2,0,3,Silver,bundle_discount,high
CUST00226,High-Value but Unhappy,54,3,2345.42,3,5,5,13,0.333,1.0,1,1,0,6,Silver,new_launch,medium
CUST00227,At-Risk High-Value,153,1,1070.42,1,1,3,5,0.0,0.0,0,1,0,0,Silver,bundle_discount,high
CUST00228,Loyal Customers,82,3,1343.2,3,5,4,12,0.0,0.0,0,3,2,6,Silver,free_shipping,high
CUST00229,Dormant,92,1,558.95,2,1,2,5,0.0,0.0,0,1,0,8,Silver,new_launch,high
CUST00230,Champions,37,6,6235.96,4,5,5,14,0.0,0.0,0,3,1,17,,none,medium
CUST00231,New / Promising,23,1,397.92,4,1,2,7,0.0,0.0,0,1,0,6,,free_shipping,low
CUST00232,Need Attention,55,1,786.26,3,1,3,7,0.0,0.0,0,1,0,2,,bundle_discount,medium
CUST00233,Dormant,361,0,0.0,1,1,1,3,0.0,0.0,0,0,1,5,,new_launch,high
CUST00234,Loyal Customers,17,2,1421.1,5,3,4,12,0.0,0.0,0,2,0,6,,welcome_offer,low
CUST00235,Dormant,125,1,556.26,2,1,2,5,0.0,0.0,0,1,0,2,,none,high
CUST00236,Need Attention,62,1,782.89,3,1,3,7,0.0,0.0,1,1,0,8,,free_shipping,medium
CUST00237,Champions,15,4,3607.29,5,5,5,15,0.0,0.0,0,2,1,8,Platinum,welcome_offer,low
CUST00238,Need Attention,78,1,643.9,3,1,2,6,0.0,0.0,1,1,0,1,,bundle_discount,high
CUST00239,Dormant,320,0,0.0,1,1,1,3,0.0,0.0,0,0,0,4,Silver,bundle_discount,high
CUST00240,Loyal Customers,56,2,2277.31,3,3,5,11,0.0,0.0,1,2,0,4,Silver,bundle_discount,medium
CUST00241,Loyal Customers,6,2,2710.9300000000003,5,3,5,13,0.0,0.0,0,2,1,12,,new_launch,low
CUST00242,Loyal Customers,82,3,2195.42,3,5,5,13,0.0,0.0,0,2,5,11,,none,high
CUST00243,Need Attention,69,1,444.6,3,1,2,6,1.0,0.0,1,1,0,3,Gold,free_shipping,medium
CUST00244,At-Risk High-Value,144,2,2449.86,2,3,5,10,0.0,0.0,0,1,0,1,,welcome_offer,high
CUST00245,Loyal Customers,73,2,1245.78,3,3,4,10,0.0,0.0,0,2,4,6,Platinum,free_shipping,medium
CUST00246,Loyal Customers,52,2,852.1000000000001,3,4,3,10,0.0,1.0,1,2,1,6,Silver,none,medium
